date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20170617,2017-06-17,2017,2,6,June,17,6,Saturday,True
20170618,2017-06-18,2017,2,6,June,18,7,Sunday,True
20170619,2017-06-19,2017,2,6,June,19,1,Monday,False
20170620,2017-06-20,2017,2,6,June,20,2,Tuesday,False
20170621,2017-06-21,2017,2,6,June,21,3,Wednesday,False
20170622,2017-06-22,2017,2,6,June,22,4,Thursday,False
20170623,2017-06-23,2017,2,6,June,23,5,Friday,False
20170624,2017-06-24,2017,2,6,June,24,6,Saturday,True
20170625,2017-06-25,2017,2,6,June,25,7,Sunday,True
20170626,2017-06-26,2017,2,6,June,26,1,Monday,False
20170627,2017-06-27,2017,2,6,June,27,2,Tuesday,False
20170628,2017-06-28,2017,2,6,June,28,3,Wednesday,False
20170629,2017-06-29,2017,2,6,June,29,4,Thursday,False
20170630,2017-06-30,2017,2,6,June,30,5,Friday,False
20170701,2017-07-01,2017,3,7,July,1,6,Saturday,True
20170702,2017-07-02,2017,3,7,July,2,7,Sunday,True
20170703,2017-07-03,2017,3,7,July,3,1,Monday,False
20170704,2017-07-04,2017,3,7,July,4,2,Tuesday,False
20170705,2017-07-05,2017,3,7,July,5,3,Wednesday,False
20170706,2017-07-06,2017,3,7,July,6,4,Thursday,False
20170707,2017-07-07,2017,3,7,July,7,5,Friday,False
20170708,2017-07-08,2017,3,7,July,8,6,Saturday,True
20170709,2017-07-09,2017,3,7,July,9,7,Sunday,True
20170710,2017-07-10,2017,3,7,July,10,1,Monday,False
20170711,2017-07-11,2017,3,7,July,11,2,Tuesday,False
20170712,2017-07-12,2017,3,7,July,12,3,Wednesday,False
20170713,2017-07-13,2017,3,7,July,13,4,Thursday,False
20170714,2017-07-14,2017,3,7,July,14,5,Friday,False
20170715,2017-07-15,2017,3,7,July,15,6,Saturday,True
20170716,2017-07-16,2017,3,7,July,16,7,Sunday,True
20170717,2017-07-17,2017,3,7,July,17,1,Monday,False
20170718,2017-07-18,2017,3,7,July,18,2,Tuesday,False
20170719,2017-07-19,2017,3,7,July,19,3,Wednesday,False
20170720,2017-07-20,2017,3,7,July,20,4,Thursday,False
20170721,2017-07-21,2017,3,7,July,21,5,Friday,False
20170722,2017-07-22,2017,3,7,July,22,6,Saturday,True
20170723,2017-07-23,2017,3,7,July,23,7,Sunday,True
20170724,2017-07-24,2017,3,7,July,24,1,Monday,False
20170725,2017-07-25,2017,3,7,July,25,2,Tuesday,False
20170726,2017-07-26,2017,3,7,July,26,3,Wednesday,False
20170727,2017-07-27,2017,3,7,July,27,4,Thursday,False
20170728,2017-07-28,2017,3,7,July,28,5,Friday,False
20170729,2017-07-29,2017,3,7,July,29,6,Saturday,True
20170730,2017-07-30,2017,3,7,July,30,7,Sunday,True
20170731,2017-07-31,2017,3,7,July,31,1,Monday,False
20170801,2017-08-01,2017,3,8,August,1,2,Tuesday,False
20170802,2017-08-02,2017,3,8,August,2,3,Wednesday,False
20170803,2017-08-03,2017,3,8,August,3,4,Thursday,False
20170804,2017-08-04,2017,3,8,August,4,5,Friday,False
20170805,2017-08-05,2017,3,8,August,5,6,Saturday,True
20170806,2017-08-06,2017,3,8,August,6,7,Sunday,True
20170807,2017-08-07,2017,3,8,August,7,1,Monday,False
20170808,2017-08-08,2017,3,8,August,8,2,Tuesday,False
20170809,2017-08-09,2017,3,8,August,9,3,Wednesday,False
20170810,2017-08-10,2017,3,8,August,10,4,Thursday,False
20170811,2017-08-11,2017,3,8,August,11,5,Friday,False
20170812,2017-08-12,2017,3,8,August,12,6,Saturday,True
20170813,2017-08-13,2017,3,8,August,13,7,Sunday,True
20170814,2017-08-14,2017,3,8,August,14,1,Monday,False
20170815,2017-08-15,2017,3,8,August,15,2,Tuesday,False
20170816,2017-08-16,2017,3,8,August,16,3,Wednesday,False
20170817,2017-08-17,2017,3,8,August,17,4,Thursday,False
20170818,2017-08-18,2017,3,8,August,18,5,Friday,False
20170819,2017-08-19,2017,3,8,August,19,6,Saturday,True
20170820,2017-08-20,2017,3,8,August,20,7,Sunday,True
20170821,2017-08-21,2017,3,8,August,21,1,Monday,False
20170822,2017-08-22,2017,3,8,August,22,2,Tuesday,False
20170823,2017-08-23,2017,3,8,August,23,3,Wednesday,False
20170824,2017-08-24,2017,3,8,August,24,4,Thursday,False
20170825,2017-08-25,2017,3,8,August,25,5,Friday,False
20170826,2017-08-26,2017,3,8,August,26,6,Saturday,True
20170827,2017-08-27,2017,3,8,August,27,7,Sunday,True
20170828,2017-08-28,2017,3,8,August,28,1,Monday,False
20170829,2017-08-29,2017,3,8,August,29,2,Tuesday,False
20170830,2017-08-30,2017,3,8,August,30,3,Wednesday,False
20170831,2017-08-31,2017,3,8,August,31,4,Thursday,False
20170901,2017-09-01,2017,3,9,September,1,5,Friday,False
20170902,2017-09-02,2017,3,9,September,2,6,Saturday,True
20170903,2017-09-03,2017,3,9,September,3,7,Sunday,True
20170904,2017-09-04,2017,3,9,September,4,1,Monday,False
20170905,2017-09-05,2017,3,9,September,5,2,Tuesday,False
20170906,2017-09-06,2017,3,9,September,6,3,Wednesday,False
20170907,2017-09-07,2017,3,9,September,7,4,Thursday,False
20170908,2017-09-08,2017,3,9,September,8,5,Friday,False
20170909,2017-09-09,2017,3,9,September,9,6,Saturday,True
20170910,2017-09-10,2017,3,9,September,10,7,Sunday,True
20170911,2017-09-11,2017,3,9,September,11,1,Monday,False
20170912,2017-09-12,2017,3,9,September,12,2,Tuesday,False
20170913,2017-09-13,2017,3,9,September,13,3,Wednesday,False
20170914,2017-09-14,2017,3,9,September,14,4,Thursday,False
20170915,2017-09-15,2017,3,9,September,15,5,Friday,False
20170916,2017-09-16,2017,3,9,September,16,6,Saturday,True
20170917,2017-09-17,2017,3,9,September,17,7,Sunday,True
20170918,2017-09-18,2017,3,9,September,18,1,Monday,False
20170919,2017-09-19,2017,3,9,September,19,2,Tuesday,False
20170920,2017-09-20,2017,3,9,September,20,3,Wednesday,False
20170921,2017-09-21,2017,3,9,September,21,4,Thursday,False
20170922,2017-09-22,2017,3,9,September,22,5,Friday,False
20170923,2017-09-23,2017,3,9,September,23,6,Saturday,True
20170924,2017-09-24,2017,3,9,September,24,7,Sunday,True
20170925,2017-09-25,2017,3,9,September,25,1,Monday,False
20170926,2017-09-26,2017,3,9,September,26,2,Tuesday,False
20170927,2017-09-27,2017,3,9,September,27,3,Wednesday,False
20170928,2017-09-28,2017,3,9,September,28,4,Thursday,False
20170929,2017-09-29,2017,3,9,September,29,5,Friday,False
20170930,2017-09-30,2017,3,9,September,30,6,Saturday,True
20171001,2017-10-01,2017,4,10,October,1,7,Sunday,True
20171002,2017-10-02,2017,4,10,October,2,1,Monday,False
20171003,2017-10-03,2017,4,10,October,3,2,Tuesday,False
20171004,2017-10-04,2017,4,10,October,4,3,Wednesday,False
20171005,2017-10-05,2017,4,10,October,5,4,Thursday,False
20171006,2017-10-06,2017,4,10,October,6,5,Friday,False
20171007,2017-10-07,2017,4,10,October,7,6,Saturday,True
20171008,2017-10-08,2017,4,10,October,8,7,Sunday,True
20171009,2017-10-09,2017,4,10,October,9,1,Monday,False
20171010,2017-10-10,2017,4,10,October,10,2,Tuesday,False
20171011,2017-10-11,2017,4,10,October,11,3,Wednesday,False
20171012,2017-10-12,2017,4,10,October,12,4,Thursday,False
20171013,2017-10-13,2017,4,10,October,13,5,Friday,False
20171014,2017-10-14,2017,4,10,October,14,6,Saturday,True
20171015,2017-10-15,2017,4,10,October,15,7,Sunday,True
20171016,2017-10-16,2017,4,10,October,16,1,Monday,False
20171017,2017-10-17,2017,4,10,October,17,2,Tuesday,False
20171018,2017-10-18,2017,4,10,October,18,3,Wednesday,False
20171019,2017-10-19,2017,4,10,October,19,4,Thursday,False
20171020,2017-10-20,2017,4,10,October,20,5,Friday,False
20171021,2017-10-21,2017,4,10,October,21,6,Saturday,True
20171022,2017-10-22,2017,4,10,October,22,7,Sunday,True
20171023,2017-10-23,2017,4,10,October,23,1,Monday,False
20171024,2017-10-24,2017,4,10,October,24,2,Tuesday,False
20171025,2017-10-25,2017,4,10,October,25,3,Wednesday,False
20171026,2017-10-26,2017,4,10,October,26,4,Thursday,False
20171027,2017-10-27,2017,4,10,October,27,5,Friday,False
20171028,2017-10-28,2017,4,10,October,28,6,Saturday,True
20171029,2017-10-29,2017,4,10,October,29,7,Sunday,True
20171030,2017-10-30,2017,4,10,October,30,1,Monday,False
20171031,2017-10-31,2017,4,10,October,31,2,Tuesday,False
20171101,2017-11-01,2017,4,11,November,1,3,Wednesday,False
20171102,2017-11-02,2017,4,11,November,2,4,Thursday,False
20171103,2017-11-03,2017,4,11,November,3,5,Friday,False
20171104,2017-11-04,2017,4,11,November,4,6,Saturday,True
20171105,2017-11-05,2017,4,11,November,5,7,Sunday,True
20171106,2017-11-06,2017,4,11,November,6,1,Monday,False
20171107,2017-11-07,2017,4,11,November,7,2,Tuesday,False
20171108,2017-11-08,2017,4,11,November,8,3,Wednesday,False
20171109,2017-11-09,2017,4,11,November,9,4,Thursday,False
20171110,2017-11-10,2017,4,11,November,10,5,Friday,False
20171111,2017-11-11,2017,4,11,November,11,6,Saturday,True
20171112,2017-11-12,2017,4,11,November,12,7,Sunday,True
20171113,2017-11-13,2017,4,11,November,13,1,Monday,False
20171114,2017-11-14,2017,4,11,November,14,2,Tuesday,False
20171115,2017-11-15,2017,4,11,November,15,3,Wednesday,False
20171116,2017-11-16,2017,4,11,November,16,4,Thursday,False
20171117,2017-11-17,2017,4,11,November,17,5,Friday,False
20171118,2017-11-18,2017,4,11,November,18,6,Saturday,True
20171119,2017-11-19,2017,4,11,November,19,7,Sunday,True
20171120,2017-11-20,2017,4,11,November,20,1,Monday,False
20171121,2017-11-21,2017,4,11,November,21,2,Tuesday,False
20171122,2017-11-22,2017,4,11,November,22,3,Wednesday,False
20171123,2017-11-23,2017,4,11,November,23,4,Thursday,False
20171124,2017-11-24,2017,4,11,November,24,5,Friday,False
20171125,2017-11-25,2017,4,11,November,25,6,Saturday,True
20171126,2017-11-26,2017,4,11,November,26,7,Sunday,True
20171127,2017-11-27,2017,4,11,November,27,1,Monday,False
20171128,2017-11-28,2017,4,11,November,28,2,Tuesday,False
20171129,2017-11-29,2017,4,11,November,29,3,Wednesday,False
20171130,2017-11-30,2017,4,11,November,30,4,Thursday,False
20171201,2017-12-01,2017,4,12,December,1,5,Friday,False
20171202,2017-12-02,2017,4,12,December,2,6,Saturday,True
20171203,2017-12-03,2017,4,12,December,3,7,Sunday,True
